year,KOR,USA,JPN,CHN,DEU,GBR,FRA,ITA
1980,,,41.4,,,42.5,21.3,
1981,,,45.8,,,44.7,22.6,
1982,,,50.1,,,42.9,26.2,
1983,,,55.1,,,41.8,27.7,
1984,,,56.9,,,42.1,30.2,
1985,,,59.2,,,41.2,31.9,
1986,,,64.2,,,41.2,32.4,
1987,,,65.7,,,39.2,34.8,
1988,,,62.4,,,37,34.7,95.7
1989,,,56.9,,,32.4,35.5,98.4
1990,12.8,,54.8,,,28.4,36.8,101.7
1991,11.9,,54.1,,39,28.4,37.8,105.3
1992,11.6,,57.9,,41.4,33.1,41.7,113
1993,10.9,,63.2,,45.1,37.8,48.2,124.1
1994,9.6,,73.3,,47.5,40.6,51.6,130.8
1995,8.5,,80.7,21.4,54.9,43.5,57.8,119.1
1996,7.8,,85.3,21.2,57.7,43.5,60.6,118.9
1997,9.7,,91.3,20.4,58.8,43.9,62,116.5
1998,13.8,,101.6,20.4,59.4,41.8,62.1,113.9
1999,15.8,,113.5,21.6,60.3,40.3,61.4,113.1
2000,16.1,,118.5,22.7,59.2,37.5,59.7,108.7
2001,16.6,53.5,126.8,24.3,58.1,34.8,59.3,108.5
2002,16.4,55.9,134.6,25.6,59.8,35.3,61.3,105.9
2003,19.1,59,140.2,26.4,63.3,36.6,65.4,105.1
2004,21.6,66.4,148.8,26,65,39.7,66.9,104.7
2005,24.9,65.8,153.4,25.9,67.1,40.9,68.2,106.2
2006,27,64.5,152.1,25.2,66.4,41.9,65.4,106.3
2007,26.3,64.9,150.4,28.7,63.7,43,65.5,103.5
2008,25.9,73.8,153.6,26.7,65.2,50.6,69.8,105.8
2009,28.8,87.1,172.9,34,72.4,64.5,84.1,116.1
2010,28.3,95.7,178.6,33.3,81,75.5,86.3,118.8
2011,31.7,100,190.6,33.2,78.5,81.1,88.7,119.1
2012,33.5,103.7,197.1,33.8,79.8,84.1,91.7,125.9
2013,36,105,201.2,36.4,77.5,84.9,94.6,131.9
2014,37.9,104.9,203.6,39.3,74.5,86.5,96.2,134.8
2015,38.8,105.4,200.1,40.8,71.2,87.3,97,134.8
2016,39.1,107.4,202.1,50,68.3,87.3,98.1,134.2
2017,38,106.4,203.1,53.9,64,86.1,98.8,133.7
2018,37.9,107.7,203.7,55.9,60.8,85.6,98.5,134.2
2019,39.7,108.8,206.3,59.8,58.7,84.9,98.2,133.9
2020,45.9,132.6,228.8,70.1,68,104.8,114.9,154.4
2021,48,125,222.7,72.1,67.9,103.4,112.8,145.8
2022,49.8,119.1,227.8,77.3,64.4,97.5,111.4,138.4
2023,50.5,120,220.3,84.1,62.3,98.9,109.6,133.9
2024,49.7,122.3,214.5,90.4,62.2,99.9,113.2,134.7
2025,52.3,123.9,206.5,99.2,62.9,102.3,116,137.1
2026,54.4,125.8,204.4,106.9,64.6,103.6,118.4,138.4
2027,56.6,128.6,200.1,112.5,66.5,104.1,120.5,138.8
2028,58.5,132.1,197.7,116.7,68.4,103.9,121.1,137.6
2029,60.1,135.5,195.7,120.3,70.2,103.5,121.3,137.1
2030,61.7,138.9,193.9,123.8,72,102.9,121.2,136.5
2031,63.1,142.1,192.8,126.8,73.7,102.6,120.7,136.1
