date,kospi,kosdaq,usdkrw
1996-11-01,651.219971,,
1996-12-01,685.840027,,
1997-01-01,676.530029,,
1997-02-01,677.340027,,
1997-03-01,703.22998,,
1997-04-01,746.359985,,
1997-05-01,745.400024,,
1997-06-01,726.119995,,
1997-07-01,695.369995,,
1997-08-01,647.109985,,
1997-09-01,470.790009,,
1997-10-01,407.859985,,
1997-11-01,376.309998,,
1997-12-01,567.380005,,
1998-01-01,558.97998,,
1998-02-01,481.040009,,
1998-03-01,421.220001,,
1998-04-01,336.630005,,
1998-05-01,297.880005,,
1998-06-01,343.329987,,
1998-07-01,310.160004,,
1998-08-01,310.320007,,
1998-09-01,384.75,,
1998-10-01,451.880005,,
1998-11-01,562.460022,,
1998-12-01,571.429993,,
1999-01-01,520.059998,,
1999-02-01,618.97998,,
1999-03-01,752.590027,,
1999-04-01,736.02002,,
1999-05-01,883.0,,
1999-06-01,969.719971,,
1999-07-01,937.880005,,
1999-08-01,836.179993,,
1999-09-01,833.51001,,
1999-10-01,996.659973,,
1999-11-01,1028.069946,,
1999-12-01,943.880005,,
2000-01-01,828.380005,,
2000-02-01,860.940002,,
2000-03-01,725.390015,,
2000-04-01,731.880005,,
2000-05-01,821.219971,,
2000-06-01,705.969971,,
2000-07-01,688.619995,,
2000-08-01,613.219971,,
2000-09-01,514.47998,746.799988,
2000-10-01,509.230011,672.599976,
2000-11-01,504.619995,525.799988,
2000-12-01,617.909973,843.599976,
2001-01-01,578.099976,767.599976,
2001-02-01,523.219971,684.299988,
2001-03-01,577.359985,789.700012,
2001-04-01,612.159973,813.5,
2001-05-01,595.130005,768.700012,
2001-06-01,541.549988,680.900024,
2001-07-01,545.109985,618.400024,
2001-08-01,479.679993,516.400024,
2001-09-01,537.809998,625.5,
2001-10-01,643.890015,705.200012,
2001-11-01,693.700012,722.099976,
2001-12-01,748.070007,773.599976,
2002-01-01,819.98999,787.099976,
2002-02-01,895.580017,927.299988,
2002-03-01,842.340027,733.400024,
2002-04-01,796.400024,697.799988,
2002-05-01,742.719971,608.5,
2002-06-01,717.98999,586.200012,
2002-07-01,736.400024,591.099976,
2002-08-01,646.419983,467.100006,
2002-09-01,658.919983,480.5,
2002-10-01,724.799988,519.0,
2002-11-01,627.549988,443.600006,
2002-12-01,591.859985,433.899994,
2003-01-01,575.429993,417.799988,
2003-02-01,535.700012,377.700012,
2003-03-01,599.349976,428.0,
2003-04-01,633.419983,471.799988,
2003-05-01,669.929993,497.5,
2003-06-01,713.52002,493.299988,
2003-07-01,759.469971,495.399994,
2003-08-01,697.52002,448.600006,
2003-09-01,782.359985,463.799988,
2003-10-01,796.179993,458.399994,
2003-11-01,810.710022,448.700012,
2003-12-01,848.5,441.450012,1189.900024
2004-01-01,883.419983,428.679993,1172.599976
2004-02-01,880.5,434.160004,1169.400024
2004-03-01,862.840027,453.470001,1162.699951
2004-04-01,803.840027,400.920013,1159.400024
2004-05-01,785.789978,385.179993,1155.699951
2004-06-01,735.340027,331.209991,1164.599976
2004-07-01,803.570007,355.660004,1150.599976
2004-08-01,835.090027,362.079987,1150.800049
2004-09-01,834.840027,357.040009,1103.0
2004-10-01,878.059998,373.429993,
2004-11-01,895.919983,380.329987,1047.599976
2004-12-01,932.700012,472.950012,1002.599976
2005-01-01,1011.359985,498.380005,1025.410034
2005-02-01,965.679993,455.029999,1003.799988
2005-03-01,911.299988,424.399994,993.0
2005-04-01,970.210022,471.480011,1007.0
2005-05-01,1008.159973,503.209991,1033.800049
2005-06-01,1111.290039,546.679993,1017.0
2005-07-01,1083.329956,503.950012,1039.5
2005-08-01,1221.01001,571.950012,1032.099976
2005-09-01,1158.109985,587.460022,1044.099976
2005-10-01,1297.439941,712.390015,
2005-11-01,1379.369995,701.789978,1019.099976
2005-12-01,1399.829956,690.23999,999.280029
2006-01-01,1371.589966,682.359985,948.080017
2006-02-01,1359.599976,665.210022,952.76001
2006-03-01,1419.72998,685.440002,894.210022
2006-04-01,1317.699951,630.5,937.179993
2006-05-01,1295.150024,590.679993,936.460022
2006-06-01,1297.819946,557.659973,941.950012
2006-07-01,1352.73999,572.830017,950.150024
2006-08-01,1371.410034,600.419983,934.349976
2006-09-01,1364.550049,586.099976,925.150024
2006-10-01,1432.209961,622.169983,
2006-11-01,1434.459961,606.150024,919.809998
2006-12-01,1360.22998,576.369995,887.049988
2007-01-01,1417.339966,600.929993,924.039978
2007-02-01,1452.550049,648.98999,928.599976
2007-03-01,1542.23999,675.880005,930.549988
2007-04-01,1700.910034,747.869995,931.409973
2007-05-01,1743.599976,778.690002,903.039978
2007-06-01,1933.27002,811.52002,920.440002
2007-07-01,1873.23999,775.130005,937.099976
2007-08-01,1946.47998,794.559998,910.969971
2007-09-01,2064.850098,810.070007,898.690002
2007-10-01,1906.0,741.840027,
2007-11-01,1897.130005,704.22998,919.47998
2007-12-01,1624.680054,608.840027,926.359985
2008-01-01,1711.619995,655.940002,941.219971
2008-02-01,1703.98999,644.450012,937.840027
2008-03-01,1825.469971,647.02002,1002.400024
2008-04-01,1852.02002,652.150024,1028.099976
2008-05-01,1674.920044,590.190002,1046.0
2008-06-01,1594.670044,539.440002,1010.700012
2008-07-01,1474.23999,470.279999,1086.5
2008-08-01,1448.060059,440.769989,1204.800049
2008-09-01,1113.060059,308.029999,1289.199951
2008-10-01,1076.069946,307.480011,
2008-11-01,1124.469971,332.049988,1462.400024
2008-12-01,1162.109985,364.899994,1242.199951
2009-01-01,1063.030029,363.209991,1356.800049
2009-02-01,1206.26001,421.440002,1530.300049
2009-03-01,1369.359985,500.980011,1278.099976
2009-04-01,1395.890015,528.799988,1253.300049
2009-05-01,1390.069946,485.149994,1272.599976
2009-06-01,1557.290039,504.350006,1223.099976
2009-07-01,1591.849976,514.700012,1249.5
2009-08-01,1673.140015,505.940002,1173.699951
2009-09-01,1580.689941,486.459991,1162.800049
2009-10-01,1555.599976,464.320007,
2009-11-01,1682.77002,513.570007,1160.599976
2009-12-01,1602.430054,496.570007,1151.099976
2010-01-01,1594.579956,507.029999,1147.699951
2010-02-01,1692.849976,515.73999,1133.599976
2010-03-01,1741.560059,523.75,1107.900024
2010-04-01,1641.25,489.420013,1200.0
2010-05-01,1698.290039,489.980011,1227.199951
2010-06-01,1759.329956,481.450012,1184.099976
2010-07-01,1742.75,464.709991,1193.099976
2010-08-01,1872.810059,492.75,1139.199951
2010-09-01,1882.949951,526.450012,1132.400024
2010-10-01,1904.630005,498.390015,
2010-11-01,2051.0,510.690002,1163.0
2010-12-01,2069.72998,521.380005,1127.099976
2011-01-01,1939.300049,504.459991,1117.400024
2011-02-01,2106.699951,525.419983,1127.099976
2011-03-01,2192.360107,511.0,1068.800049
2011-04-01,2142.469971,484.540009,1075.300049
2011-05-01,2100.689941,479.549988,1068.900024
2011-06-01,2133.209961,536.049988,1049.0
2011-07-01,1880.109985,493.440002,1071.800049
2011-08-01,1769.650024,449.660004,1177.0
2011-09-01,1909.030029,490.690002,1104.0
2011-10-01,1847.51001,492.809998,
2011-11-01,1825.73999,500.179993,1140.300049
2011-12-01,1955.790039,513.98999,1155.400024
2012-01-01,2030.25,542.299988,1125.699951
2012-02-01,2014.040039,519.559998,1124.599976
2012-03-01,1981.98999,478.890015,1131.699951
2012-04-01,1843.469971,471.940002,1179.699951
2012-05-01,1854.01001,489.160004,1114.0
2012-06-01,1881.98999,467.609985,1136.599976
2012-07-01,1905.119995,508.350006,1133.599976
2012-08-01,1996.209961,523.780029,1096.599976
2012-09-01,1912.060059,508.309998,1090.300049
2012-10-01,1932.900024,499.369995,
2012-11-01,1997.050049,496.320007,1082.099976
2012-12-01,1961.939941,503.670013,1038.099976
2013-01-01,2026.48999,535.869995,1085.400024
2013-02-01,2004.890015,555.02002,1083.900024
2013-03-01,1963.949951,563.869995,1103.199951
2013-04-01,2001.050049,577.869995,1127.599976
2013-05-01,1863.319946,519.059998,1122.099976
2013-06-01,1914.030029,554.309998,1113.300049
2013-07-01,1926.359985,516.73999,1086.0
2013-08-01,1996.959961,534.890015,1075.800049
2013-09-01,2030.089966,532.440002,1058.199951
2013-10-01,2044.869995,517.059998,
2013-11-01,2011.339966,499.98999,1057.099976
2013-12-01,1941.150024,515.200012,1054.300049
2014-01-01,1979.98999,528.960022,1079.300049
2014-02-01,1985.609985,541.580017,1068.699951
2014-03-01,1961.790039,559.340027,1029.439941
2014-04-01,1994.959961,546.530029,1019.799988
2014-05-01,2002.209961,537.059998,1013.299988
2014-06-01,2076.120117,536.320007,1023.599976
2014-07-01,2068.540039,570.200012,1012.900024
2014-08-01,2020.089966,573.219971,1052.199951
2014-09-01,1964.430054,558.700012,1053.800049
2014-10-01,1980.780029,545.080017,
2014-11-01,1915.589966,542.969971,1088.599976
2014-12-01,1949.26001,591.580017,1095.300049
2015-01-01,1985.800049,624.559998,1101.0
2015-02-01,2041.030029,650.48999,
2015-03-01,2127.169922,689.01001,1068.969971
2015-04-01,2114.800049,711.390015,1107.0
2015-05-01,2074.199951,742.27002,1118.219971
2015-06-01,2030.160034,725.059998,1170.77002
2015-07-01,1941.48999,687.109985,1177.599976
2015-08-01,1962.810059,678.47998,1194.160034
2015-09-01,2029.469971,683.630005,
2015-10-01,1991.969971,688.380005,
2015-11-01,1961.310059,682.349976,1154.829956
2015-12-01,1912.060059,682.799988,1175.439941
2016-01-01,1916.660034,651.619995,
2016-02-01,1995.849976,688.380005,1241.130005
2016-03-01,1994.150024,699.77002,1143.0
2016-04-01,1983.400024,698.450012,1198.449951
2016-05-01,1970.349976,675.090027,1152.150024
2016-06-01,2016.189941,706.23999,
2016-07-01,2034.650024,663.690002,1118.380005
2016-08-01,2043.630005,681.210022,1101.619995
2016-09-01,2008.189941,624.679993,1146.699951
2016-10-01,1983.47998,596.109985,
2016-11-01,2026.459961,631.440002,1167.859985
2016-12-01,2067.570068,616.130005,1206.26001
2017-01-01,2091.639893,612.200012,1169.209961
2017-02-01,2160.22998,619.280029,1133.939941
2017-03-01,2205.439941,628.23999,1135.640015
2017-04-01,2347.379883,652.039978,1123.900024
2017-05-01,2391.790039,669.039978,1146.140015
2017-06-01,2402.709961,650.469971,1124.050049
2017-07-01,2363.189941,657.830017,1123.329956
2017-08-01,2394.469971,652.820007,
2017-09-01,2523.429932,694.200012,1123.449951
2017-10-01,2476.370117,771.419983,
2017-11-01,2467.48999,798.419983,1080.660034
2017-12-01,2566.459961,913.570007,1066.380005
2018-01-01,2427.360107,857.059998,1072.540039
2018-02-01,2445.850098,871.090027,1079.390015
2018-03-01,2515.379883,875.950012,1067.599976
2018-04-01,2423.01001,879.659973,1075.030029
2018-05-01,2326.129883,818.219971,1120.540039
2018-06-01,2295.26001,775.52002,1116.670044
2018-07-01,2322.879883,816.969971,1115.449951
2018-08-01,2343.070068,822.27002,1109.160034
2018-09-01,2029.689941,648.669983,1137.699951
2018-10-01,2096.860107,695.76001,
2018-11-01,2041.040039,675.650024,1117.02002
2018-12-01,2204.850098,716.859985,1116.300049
2019-01-01,2195.439941,731.25,1109.0
2019-02-01,2140.669922,729.309998,1115.099976
2019-03-01,2203.590088,754.73999,1158.790039
2019-04-01,2041.73999,696.469971,1188.380005
2019-05-01,2130.620117,690.530029,1155.51001
2019-06-01,2024.550049,630.179993,1180.650024
2019-07-01,1967.790039,610.549988,1207.160034
2019-08-01,2063.050049,621.76001,1201.910034
2019-09-01,2083.47998,658.52002,1163.699951
2019-10-01,2087.959961,632.98999,
2019-11-01,2197.669922,669.830017,1181.569946
2019-12-01,2119.01001,642.47998,1156.349976
2020-01-01,1987.01001,610.72998,1187.119995
2020-02-01,1754.640015,569.070007,1200.099976
2020-03-01,1947.560059,645.179993,1210.790039
2020-04-01,2029.599976,713.679993,1230.27002
2020-05-01,2108.330078,737.969971,1198.48999
2020-06-01,2249.370117,815.299988,1189.560059
2020-07-01,2326.169922,848.23999,1179.589966
2020-08-01,2327.889893,848.150024,1167.859985
2020-09-01,2267.149902,792.650024,1129.52002
2020-10-01,2591.340088,886.109985,
2020-11-01,2873.469971,968.419983,1104.329956
2020-12-01,2976.209961,928.72998,1086.420044
2021-01-01,3012.949951,913.940002,1117.430054
2021-02-01,3061.419922,956.169983,1123.369995
2021-03-01,3147.860107,983.450012,1106.630005
2021-04-01,3203.919922,981.780029,1112.849976
2021-05-01,3296.679932,1029.959961,1130.51001
2021-06-01,3202.320068,1031.140015,1150.630005
2021-07-01,3199.27002,1038.329956,1165.51001
2021-08-01,3068.820068,1003.27002,1187.430054
2021-09-01,2970.679932,992.330017,1174.380005
2021-10-01,2839.01001,965.630005,
2021-11-01,2977.649902,1033.97998,1190.73999
2021-12-01,2663.340088,872.869995,1189.890015
2022-01-01,2699.179932,881.070007,1207.709961
2022-02-01,2757.649902,944.530029,1197.589966
2022-03-01,2695.050049,904.75,1263.380005
2022-04-01,2685.899902,893.359985,1236.170044
2022-05-01,2332.639893,745.440002,1301.72998
2022-06-01,2451.5,803.619995,1302.869995
2022-07-01,2472.050049,807.039978,1350.189941
2022-08-01,2155.48999,672.650024,1430.170044
2022-09-01,2293.610107,695.330017,1421.650024
2022-10-01,2472.530029,729.539978,
2022-11-01,2236.399902,679.289978,1325.369995
2022-12-01,2425.080078,740.48999,1260.910034
2023-01-01,2412.850098,791.599976,1231.5
2023-02-01,2476.860107,847.52002,1318.349976
2023-03-01,2501.530029,842.830017,1337.319946
2023-04-01,2577.120117,856.940002,1319.790039
2023-05-01,2564.280029,868.23999,1323.069946
2023-06-01,2632.580078,935.969971,1272.390015
2023-07-01,2556.27002,928.400024,1323.030029
2023-08-01,2465.070068,841.02002,1351.930054
2023-09-01,2277.98999,736.099976,1348.069946
2023-10-01,2535.290039,831.679993,
2023-11-01,2655.280029,866.570007,1288.359985
2023-12-01,2497.090088,799.23999,1293.530029
2024-01-01,2642.360107,862.960022,1326.619995
2024-02-01,2746.629883,905.5,1333.380005
2024-03-01,2692.060059,868.929993,1374.640015
2024-04-01,2636.52002,839.97998,1375.619995
2024-05-01,2797.820068,840.440002,1380.280029
