date,us_cpi,us_m2,us10y,kr_cpi,fx_reserves,us30y,seoul_house_price,national_house_price,krwusd,krwjpy100,kr_reer,krweur,bok_base_rate,kr3y,corp_aa_3y,sovereign_issuance,kr10y,kr_m2,kr30y,krwcny
1950-01-01,23.51,,,,,,,,,,,,,,,,,,,
1950-02-01,23.61,,,,,,,,,,,,,,,,,,,
1950-03-01,23.64,,,,,,,,,,,,,,,,,,,
1950-04-01,23.65,,,,,,,,,,,,,,,,,,,
1950-05-01,23.77,,,,,,,,,,,,,,,,,,,
1950-06-01,23.88,,,,,,,,,,,,,,,,,,,
1950-07-01,24.07,,,,,,,,,,,,,,,,,,,
1950-08-01,24.2,,,,,,,,,,,,,,,,,,,
1950-09-01,24.34,,,,,,,,,,,,,,,,,,,
1950-10-01,24.5,,,,,,,,,,,,,,,,,,,
1950-11-01,24.6,,,,,,,,,,,,,,,,,,,
1950-12-01,24.98,,,,,,,,,,,,,,,,,,,
1951-01-01,25.38,,,,,,,,,,,,,,,,,,,
1951-02-01,25.83,,,,,,,,,,,,,,,,,,,
1951-03-01,25.88,,,,,,,,,,,,,,,,,,,
1951-04-01,25.92,,,,,,,,,,,,,,,,,,,
1951-05-01,25.99,,,,,,,,,,,,,,,,,,,
1951-06-01,25.93,,,,,,,,,,,,,,,,,,,
1951-07-01,25.91,,,,,,,,,,,,,,,,,,,
1951-08-01,25.86,,,,,,,,,,,,,,,,,,,
1951-09-01,26.03,,,,,,,,,,,,,,,,,,,
1951-10-01,26.16,,,,,,,,,,,,,,,,,,,
1951-11-01,26.32,,,,,,,,,,,,,,,,,,,
1951-12-01,26.47,,,,,,,,,,,,,,,,,,,
1952-01-01,26.45,,,,,,,,,,,,,,,,,,,
1952-02-01,26.41,,,,,,,,,,,,,,,,,,,
1952-03-01,26.39,,,,,,,,,,,,,,,,,,,
1952-04-01,26.46,,,,,,,,,,,,,,,,,,,
1952-05-01,26.47,,,,,,,,,,,,,,,,,,,
1952-06-01,26.53,,,,,,,,,,,,,,,,,,,
1952-07-01,26.68,,,,,,,,,,,,,,,,,,,
1952-08-01,26.69,,,,,,,,,,,,,,,,,,,
1952-09-01,26.63,,,,,,,,,,,,,,,,,,,
1952-10-01,26.69,,,,,,,,,,,,,,,,,,,
1952-11-01,26.69,,,,,,,,,,,,,,,,,,,
1952-12-01,26.71,,,,,,,,,,,,,,,,,,,
1953-01-01,26.64,,,,,,,,,,,,,,,,,,,
1953-02-01,26.59,,,,,,,,,,,,,,,,,,,
1953-03-01,26.63,,,,,,,,,,,,,,,,,,,
