date,price,real_price,cpi,gs10_pct,real_total_return_price,cape,tr_cape,excess_cape_yield_pct,stock_real_return_10y_pct,bond_real_return_10y_pct,excess_real_return_10y_pct
1871-01-01,4.44,118.648924,12.464061,5.32,118.64892438,,,,13.0609446,9.25036764,3.81057696
1871-02-01,4.5,116.689274,12.844641,5.32333333,117.2511116,,,,13.08584817,9.46346343,3.62238474
1871-03-01,4.61,117.796187,13.034972,5.32666667,118.91965303,,,,13.09508729,9.61859956,3.47648773
1871-04-01,4.74,125.705957,12.559226,5.33,127.48494655,,,,12.20560376,9.09719062,3.10841314
1871-05-01,4.86,131.885553,12.273812,5.33333333,134.34828451,,,,12.26380989,8.94884372,3.31496617
1871-06-01,4.82,132.860347,12.083481,5.33666667,135.94966158,,,,12.30927999,8.7724911,3.53678889
1871-07-01,4.73,130.379552,12.083481,5.34,134.02229777,,,,12.00218157,8.65808561,3.34409595
1871-08-01,4.79,134.145482,11.893231,5.34333333,138.51718168,,,,11.19330103,8.26686109,2.92643993
1871-09-01,4.84,132.369141,12.178646,5.34666667,137.29482375,,,,11.00282054,8.10479048,2.89803007
1871-10-01,4.59,123.60105,12.368896,5.35,128.8056147,,,,11.47652577,8.16526521,3.31126056
1871-11-01,4.64,124.947466,12.368896,5.35333333,130.81674086,,,,11.52699193,8.25932502,3.26766691
1871-12-01,4.74,124.760605,12.654392,5.35666667,131.21817495,,,,11.2135174,8.49991777,2.71359962
1872-01-01,4.86,127.919102,12.654392,5.36,135.14756871,,,,10.7684464,8.49309892,2.27534748
1872-02-01,4.88,128.445518,12.654392,5.37833333,136.3217675,,,,10.3752076,8.3909829,1.9842247
1872-03-01,5.04,130.691987,12.844641,5.39666667,139.3252131,,,,10.16659229,8.55145885,1.61513344
1872-04-01,5.18,131.401675,13.130137,5.415,140.69768177,,,,10.00786679,8.68854979,1.319317
1872-05-01,5.18,131.401675,13.130137,5.43333333,141.32398564,,,,9.77606637,8.58766809,1.18839829
1872-06-01,5.13,131.083392,13.034972,5.45166667,141.62291092,,,,9.64717056,8.4086342,1.23853636
1872-07-01,5.1,132.247844,12.844641,5.47,143.54239655,,,,10.25004015,8.34525207,1.90478808
1872-08-01,5.04,129.730818,12.939807,5.48833333,141.47790444,,,,10.68417179,8.32492177,2.35925003
1872-09-01,4.95,126.483975,13.034972,5.50666667,138.61049079,,,,11.37030608,8.69931171,2.67099437
1872-10-01,4.97,129.83879,12.749476,5.525,142.98668906,,,,10.87007196,8.55723327,2.31283869
1872-11-01,4.95,125.567238,13.130137,5.54333333,138.97330068,,,,10.85524578,8.97661677,1.87862902
1872-12-01,5.07,130.503026,12.939807,5.56166667,145.14826197,,,,10.58624748,8.91780203,1.66844545
1873-01-01,5.11,131.532635,12.939807,5.58,147.01510147,,,,10.43883357,8.91469811,1.52413546
1873-02-01,5.15,129.701405,13.225221,5.57083333,145.68377936,,,,10.2369555,9.0247719,1.2121836
1873-03-01,5.11,128.694016,13.225221,5.56166667,145.27713774,,,,10.55909048,9.10368869,1.4554018
1873-04-01,5.04,126.931084,13.225221,5.5525,144.02148081,,,,11.04091631,9.18381333,1.85710297
1873-05-01,5.05,129.988221,12.939807,5.54333333,148.25081253,,,,10.68847356,9.0269519,1.66152166
1873-06-01,4.98,132.070815,12.559226,5.53416667,151.41996178,,,,10.92865887,8.99955425,1.92910462
1873-07-01,4.97,131.805613,12.559226,5.525,151.92038752,,,,10.99578811,9.19589238,1.79989574
1873-08-01,4.97,131.805613,12.559226,5.51583333,152.73552039,,,,10.47728412,9.17183137,1.30545274
1873-09-01,4.59,121.72792,12.559226,5.50666667,141.88346191,,,,11.5852859,9.25987633,2.32540957
1873-10-01,4.19,113.7038,12.273812,5.4975,133.38737123,,,,12.02491903,8.98512574,3.03979329
1873-11-01,4.04,113.141492,11.893231,5.48833333,133.62434531,,,,12.34299803,8.73120174,3.6117963
1873-12-01,4.42,120.882563,12.178646,5.47916667,143.65509509,,,,11.22710813,8.85284553,2.3742626
1874-01-01,4.66,125.486033,12.368896,5.47,150.00582675,,,,10.46877981,8.99804526,1.47073455
1874-02-01,4.8,129.256,12.368896,5.43666667,155.39766709,,,,10.42967407,8.96120504,1.46846903
1874-03-01,4.73,127.371016,12.368896,5.40333333,154.02175024,,,,10.54263693,8.92456351,1.61807342
1874-04-01,4.6,125.805382,12.178646,5.37,153.03799153,,,,10.3902724,8.94615963,1.44411277
1874-05-01,4.48,123.488455,12.083481,5.33666667,151.1416346,,,,9.89463298,9.05633627,0.83829671
1874-06-01,4.46,125.911222,11.798066,5.30333333,155.05715092,,,,9.22267271,8.75993424,0.46273848
1874-07-01,4.46,124.903727,11.893231,5.27,154.76486017,,,,9.42624,8.92910819,0.49713181
1874-08-01,4.47,126.193534,11.798066,5.23666667,157.32499115,,,,9.97511577,8.80595935,1.16915642
1874-09-01,4.54,128.169719,11.798066,5.20333333,160.75657653,,,,9.56785588,8.88944958,0.6784063
1874-10-01,4.53,129.984361,11.607736,5.17,164.02229873,,,,9.16951803,8.79741523,0.3721028
1874-11-01,4.57,132.215161,11.512651,5.13666667,167.8412041,,,,9.00509028,8.91733104,0.08775923
1874-12-01,4.54,131.347228,11.512651,5.10333333,167.74938725,,,,9.17539609,9.00691108,0.16848501
1875-01-01,4.54,131.347228,11.512651,5.07,168.75779261,,,,8.92083983,8.97211293,-0.0512731
1875-02-01,4.53,131.057917,11.512651,5.03,169.39280266,,,,9.14637806,8.81121175,0.33516631
1875-03-01,4.59,132.793783,11.512651,4.99,172.64136772,,,,9.27561253,9.02541771,0.25019482
1875-04-01,4.65,133.427655,11.607736,4.95,174.46023064,,,,9.06952748,8.9529623,0.11656519
1875-05-01,4.47,131.495981,11.322321,4.91,172.95221059,,,,9.3516579,8.89925868,0.45239922
1875-06-01,4.38,131.050459,11.132071,4.87,173.39924757,,,,9.59144441,8.93836041,0.653084
1875-07-01,4.39,131.349661,11.132071,4.83,174.8260964,,,,9.82600603,8.77254448,1.05346154
1875-08-01,4.41,130.830579,11.227155,4.79,175.15526566,,,,10.45717934,8.82983622,1.62734312
